aop,prior,current
002,9745.73,2457.27
010,9745.73,2457.27
013,9745.73,1049.99
017,0.00,1407.28
037,82510.24,136193.91
046,77651.20,10436.90
049,16433.02,2464.26
050,60311.04,0.00
051,907.14,6237.36
052,0.00,1735.28
053,159.63,97547.31
061,159.63,97547.31
063,4699.41,28209.70
065,92255.97,138651.18
067,88713.87,111914.53
068,2654.46,2654.46
084,21012.23,0.00
085,21012.23,0.00
087,65047.18,109260.07
088,65047.18,109260.07
110,3542.10,26736.65
118,752.15,983.98
120,1075.61,1075.61
121,1714.34,7501.95
122,0.00,16632.27
124,0.00,542.84
126,92255.97,138651.18
