account,debit,credit
03100,1724.22,0.00
0311,0.00,0.00
03110,26370.80,0.00
03120,921.31,0.00
0360,0.00,0.00
0371,0.00,0.00
0391,0.00,0.00
03910,0.00,25767.07
1000,7261.68,0.00
1009,0.00,0.00
1020,0.00,0.00
11506,0.00,0.00
115091,80.00,0.00
11513,79.63,0.00
1211,16214.26,0.00
1243,0.00,0.00
1252,0.00,0.00
1331,72515.51,0.00
140012,0.00,0.00
140022,0.00,0.00
14032,0.00,0.00
14042,0.00,0.00
14052,0.00,0.00
1407,3014.23,0.00
1410,0.00,0.00
1424,0.00,0.00
1430,1642.61,0.00
1450,65.31,0.00
2010,0.00,0.00
2200,3988.71,399.54
2210,295.79,25.86
2211,1089.31,-96.27
2300,0.00,1075.61
2399,0.00,0.00
24032,0.00,0.00
24042,0.00,0.00
2410,0.00,118.50
2420,0.00,223.83
2421,0.00,74.64
2423,0.00,242.46
24311,0.00,0.00
3500,0.00,0.00
3600,16472.70,0.00
3630,0.00,16472.70
4010,553.53,0.00
4040,5039.84,0.00
4050,0.00,0.00
4100,1217.15,0.00
4164,1100.00,0.00
4175,2.98,0.00
4199,2597.48,0.00
4200,6453.60,0.00
4210,713.40,0.00
4220,1791.78,0.00
4230,1478.22,0.00
4312,9422.54,0.00
4607,303.89,0.00
4616,1900.00,0.00
4649,24.50,0.00
4650,148.21,0.00
4684,0.00,0.00
4686,0.00,0.00
4698,3.32,0.00
4740,1.50,0.00
4741,0.00,0.00
4750,0.00,0.00
4797,0.00,0.00
4799,0.00,0.00
4850,0.00,0.00
4860,500.00,0.00
7518,0.00,75947.47
75402,0.00,0.00
75411,0.00,0.00
7710,0.00,0.00
7724,0.00,0.00
9000,0.00,2654.46
94010,0.00,62082.14
