aop,prior,current
128,115023.14,173644.37
130,110927.62,173644.37
133,4095.52,0.00
134,42736.35,56106.32
136,10160.67,15650.91
137,2523.10,7152.84
139,7637.57,8498.07
140,23432.16,20874.00
141,14472.78,12907.20
142,5640.62,5010.36
143,3318.76,2956.44
144,631.57,12821.80
145,4579.66,6023.15
156,3932.29,736.46
157,6.06,4089.10
164,0.00,1721.40
165,6.06,2367.70
168,130.82,226.43
171,8.06,26.25
172,122.76,146.24
175,0.00,53.94
180,115029.20,177733.47
181,42867.17,56332.75
182,72162.03,121400.72
183,72162.03,121400.72
185,7114.85,12140.65
186,65047.18,109260.07
187,65047.18,109260.07
