account,name,total_debit,total_credit,balance
03100,"Uredska oprema (blagajne,alarmi,klima uređaji,tv)-PS",1724.22,0.00,1724.22
0311,Računalna oprema,1199.99,0.00,1199.99
03110,Računalna oprema-PS,26370.80,0.00,26370.80
03120,"Telekomunikacijska oprema (mobiteli,tel.centrale)-PS",921.31,0.00,921.31
0360,Predujmovi za materijalnu imovinu,0.00,0.00,0.00
0371,Oprema u pripremi,2607.27,1199.99,1407.28
0391,Akumulirana amortizacija opreme,0.00,150.00,-150.00
03910,Akumulirana amortizacija opreme-PS,0.00,29016.33,-29016.33
1000,Transakcijski račun u banci-Erste&Sterierm.Bank d.d.,118708.58,90498.88,28209.70
1009,Transakcijski prijelazni račun,1950.00,1950.00,0.00
1020,Glavna blagajna,1950.00,1950.00,0.00
11506,Zajmovi članovima uprave i zaposlenicima,97493.01,105.33,97387.68
115091,Zajmovi dani fizičkim osobama,80.00,0.00,80.00
11513,Depoziti za ostale poslovne aktivnosti,79.63,0.00,79.63
1211,Kupci dobara i usluga iz trećih zemalja,113911.16,111446.90,2464.26
1243,Potraživanje za kamatu iz danih zajmova,1721.40,0.00,1721.40
1252,Potraživanja za predujmljene usluge dobavljačima iz 3z,13.88,0.00,13.88
1331,Potraživanja od članova društva za privatne troškove,0.00,0.00,0.00
140012,Pretporez po ulaznim računima - 25%,1757.75,1757.75,0.00
140022,Pretporez iz predujmova - 25%,0.00,0.00,0.00
14032,Pretporez od primljenih usluga iz EU - 25%,138.69,138.69,0.00
14042,Pretporez od porez.obveznika bez sjedišta u RH - 25%,522.04,522.04,0.00
14052,PDV pri uvozu dobara - 25%,105.33,105.33,0.00
1407,Potraživanja za razliku većeg pretporeza od obveza,5803.59,0.00,5803.59
1410,Potraživanja za porez na dohodak iz plaća,176.10,0.00,176.10
1424,Potraživanja za više plaćeni doprinos za zapošljavanje,0.05,0.00,0.05
1430,Potraživanja za plaćene predujmove poreza na dobitak,7451.61,0.00,7451.61
1450,Potraživanja za plaćenu članarinu turističkim zajednic.,257.62,0.00,257.62
2010,Obveze s osnova udjela u dobitku,38000.00,54632.27,-16632.27
2200,Obveze prema dobavljačima dobara i usluga,9032.22,9983.80,-951.58
2210,Dobavljači dobara i usluga iz EU,680.97,713.37,-32.40
2211,Dobavljači dobara i usluga iz trećih zemalja,2898.79,2898.79,0.00
2300,Obveze za neto plaće,6453.60,7529.21,-1075.61
2399,Obveze za obračunane akontacije pd plaćene u idućoj god,0.00,542.84,-542.84
24032,Obveze za PDV za primljene usluge iz EU - 25%,171.45,171.45,0.00
24042,Obveza PDV-a od porez.obveznika bez sjedišta u RH - 25%,522.04,522.04,0.00
2410,Obveze za porez na dohodak iz plaća,831.90,831.90,0.00
2420,Obveze za doprinos za MO iz plaća I.stup,1343.82,1567.69,-223.87
2421,Obveze za doprinos za MO iz plaća II.stup,447.96,522.62,-74.66
2423,Obveze za doprinos za zdravstveno osiguranje na plaće,1478.22,1724.56,-246.34
24311,Porez na dohodak od kapitala na isplate dobitka,5181.83,7449.87,-2268.04
3500,Sitan inventar na zalihi,402.81,402.81,0.00
3600,Sitan inventar u uporabi,16875.51,0.00,16875.51
3630,Ortpis sitnog inventara,0.00,16875.51,-16875.51
4010,"Uredski materijal (papir,registratori,olovke,usb-stick)",1319.47,0.00,1319.47
4040,Troškovi sitnog inventara,5442.65,0.00,5442.65
4050,Potrošeni rezervni dijelovi za popravak vlastite opreme,390.72,0.00,390.72
4100,"Troškovi telefona, interneta i sl.",3287.61,0.00,3287.61
4164,Knjigovodstvene usluge,2610.00,0.00,2610.00
4175,Garažiranje i parkiranje vozila,2.98,0.00,2.98
4199,Ostali nespomenuti vanjski troškovi - usluge,2597.48,0.00,2597.48
4200,Troškovi neto plaća,12907.20,0.00,12907.20
4210,Troškovi poreza i prireza,1426.80,0.00,1426.80
4220,Troškovi doprinosa iz plaća,3583.56,0.00,3583.56
4230,Troškovi doprinosa na plaće,2956.44,0.00,2956.44
4312,Amortizacija opreme,12821.80,0.00,12821.80
4607,"Ostali troškovi na službenom putu (cestarina,trajekt)",697.45,0.00,697.45
4616,"Prigodne nagrade (božićnice,uskrsnice,regres za go isl)",1900.00,0.00,1900.00
4649,Premije za ostale oblike osiguranja,24.50,0.00,24.50
4650,Troškovi platnog prometa,392.35,0.00,392.35
4684,Trošak HRT preplate,116.82,0.00,116.82
4686,Troškovi prava uporabe računalnih programa,2878.75,0.00,2878.75
4698,"Troškovi ZAMP-a, opomena i dr.",13.28,0.00,13.28
4740,Zatezne kamate iz trgovačkih ugovora,20.43,0.00,20.43
4741,"Zatezne kamate na poreze, doprinose i dr.davanja",5.82,0.00,5.82
4750,Negativne tečajne razlike iz obveza za nabave u inozems,146.24,0.00,146.24
4797,Troškovi ovršnog postupka,50.00,0.00,50.00
4799,Ostali nespomenuti financijski troškovi,3.94,0.00,3.94
4850,Naknadno utvrđeni troškovi-računi iz prethodnih godina,236.46,0.00,236.46
4860,Darovanje za općekorisne namjene (do 2% prihoda),500.00,0.00,500.00
7518,Prihodi od programskih usluga,0.00,0.00,0.00
75402,Prihod od prodaje programskih usluga u EU,0.00,35519.89,-35519.89
75411,Prihod od prodaje programskih usluga u treće zemlje,0.00,138124.48,-138124.48
7710,Prihodi od kamata iz financijske imovine i dr.,0.00,1721.40,-1721.40
7724,Ostali finacijski prihodi,0.00,2367.70,-2367.70
9000,Upisani temeljni kapital članova d.o.o.,0.00,2654.46,-2654.46
94010,Zadržani dobitak članova društva,62082.14,62082.14,0.00
